InvoiceNo,CustomerID,InvoiceDate,Price,AcquisitionChannel,CAC
500123,CUST-1001,2024-01-15 10:30:00,145.50,Paid Search,45.00
500124,CUST-1002,2024-01-18 14:22:00,320.00,Meta Ads,65.00
500125,CUST-1001,2024-02-20 09:15:00,135.00,Paid Search,45.00
500126,CUST-1003,2024-03-05 16:45:00,115.25,Organic,0.00
500127,CUST-1002,2024-04-12 11:10:00,189.99,Meta Ads,65.00
500128,CUST-1004,2024-05-22 13:05:00,250.00,Email Marketing,15.00
500129,CUST-1001,2024-06-01 12:00:00,165.00,Paid Search,45.00
500130,CUST-1003,2025-01-10 15:30:00,142.00,Organic,0.00
500131,CUST-1005,2025-03-14 17:18:00,118.75,Meta Ads,65.00
500132,CUST-1002,2026-05-20 10:00:00,210.50,Meta Ads,65.00
